sub_category,main_category
Air Conditioners,appliances
All Appliances,appliances
All Car & Motorbike Products,car & motorbike
All Electronics,"tv, audio & cameras"
All Exercise & Fitness,sports & fitness
All Grocery & Gourmet Foods,grocery & gourmet foods
All Home & Kitchen,home & kitchen
All Pet Supplies,pet supplies
"All Sports, Fitness & Outdoors",sports & fitness
Amazon Fashion,stores
"Baby Bath, Skin & Grooming",toys & baby products
Baby Fashion,kids' fashion
Baby Products,toys & baby products
Backpacks,bags & luggage
Badminton,sports & fitness
Bags & Luggage,accessories
Ballerinas,women's shoes
Beauty & Grooming,beauty & health
Bedroom Linen,home & kitchen
Camera Accessories,"tv, audio & cameras"
Cameras,"tv, audio & cameras"
Camping & Hiking,sports & fitness
Car & Bike Care,car & motorbike
Car Accessories,car & motorbike
Car Electronics,car & motorbike
Car Parts,car & motorbike
Cardio Equipment,sports & fitness
Casual Shoes,men's shoes
Clothing,women's clothing
"Coffee, Tea & Beverages",grocery & gourmet foods
Cricket,sports & fitness
Cycling,sports & fitness
Diapers,toys & baby products
Diet & Nutrition,beauty & health
Dog supplies,pet supplies
Ethnic Wear,women's clothing
Fashion & Silver Jewellery,accessories
Fashion Sales & Deals,stores
Fashion Sandals,women's shoes
Fitness Accessories,sports & fitness
Football,sports & fitness
Formal Shoes,men's shoes
Furniture,home & kitchen
Garden & Outdoors,home & kitchen
Gold & Diamond Jewellery,accessories
Handbags & Clutches,accessories
Headphones,"tv, audio & cameras"
Health & Personal Care,beauty & health
Heating & Cooling Appliances,appliances
Home Audio & Theater,"tv, audio & cameras"
Home D̩cor,home & kitchen
Home Entertainment Systems,"tv, audio & cameras"
Home Furnishing,home & kitchen
Home Improvement,home & kitchen
Home Storage,home & kitchen
Household Supplies,beauty & health
Indoor Lighting,home & kitchen
Industrial & Scientific Supplies,industrial supplies
Innerwear,men's clothing
International Toy Store,toys & baby products
Janitorial & Sanitation Supplies,industrial supplies
Jeans,men's clothing
Jewellery,accessories
Kids' Clothing,kids' fashion
Kids' Fashion,kids' fashion
Kids' Shoes,kids' fashion
Kids' Watches,kids' fashion
Kitchen & Dining,home & kitchen
Kitchen & Home Appliances,appliances
Kitchen Storage & Containers,home & kitchen
Lab & Scientific,industrial supplies
Lingerie & Nightwear,women's clothing
Luxury Beauty,beauty & health
Make-up,beauty & health
Men's Fashion,stores
Motorbike Accessories & Parts,car & motorbike
Musical Instruments & Professional Audio,music
Nursing & Feeding,toys & baby products
Personal Care Appliances,beauty & health
Refrigerators,appliances
Refurbished & Open Box,"home, kitchen, pets"
Rucksacks,bags & luggage
Running,sports & fitness
STEM Toys Store,toys & baby products
School Bags,kids' fashion
Security Cameras,"tv, audio & cameras"
Sewing & Craft Supplies,home & kitchen
Shirts,men's clothing
Shoes,women's shoes
Snack Foods,grocery & gourmet foods
Speakers,"tv, audio & cameras"
Sports Shoes,men's shoes
Sportswear,stores
Strength Training,sports & fitness
Strollers & Prams,toys & baby products
Suitcases & Trolley Bags,bags & luggage
Sunglasses,accessories
T-shirts & Polos,men's clothing
Televisions,"tv, audio & cameras"
"Test, Measure & Inspect",industrial supplies
The Designer Boutique,stores
Toys & Games,toys & baby products
Toys Gifting Store,toys & baby products
Travel Accessories,bags & luggage
Travel Duffles,bags & luggage
Value Bazaar,beauty & health
Wallets,bags & luggage
Washing Machines,appliances
Watches,accessories
Western Wear,women's clothing
Women's Fashion,stores
Yoga,sports & fitness
